name,figi,currency,closed,dt
Тинькофф iMOEX,BBG333333333,rub,4.614,2020-11-02
Тинькофф iMOEX,BBG333333333,rub,4.698,2020-11-03
Тинькофф iMOEX,BBG333333333,rub,4.824,2020-11-05
Тинькофф iMOEX,BBG333333333,rub,4.872,2020-11-06
Тинькофф iMOEX,BBG333333333,rub,5.028,2020-11-09
Тинькофф iMOEX,BBG333333333,rub,5.04,2020-11-10
Тинькофф iMOEX,BBG333333333,rub,5.082,2020-11-11
Тинькофф iMOEX,BBG333333333,rub,5.094,2020-11-12
Тинькофф iMOEX,BBG333333333,rub,5.094,2020-11-13
Тинькофф iMOEX,BBG333333333,rub,5.198,2020-11-16
Тинькофф iMOEX,BBG333333333,rub,5.136,2020-11-17
Тинькофф iMOEX,BBG333333333,rub,5.194,2020-11-18
Тинькофф iMOEX,BBG333333333,rub,5.158,2020-11-19
Тинькофф iMOEX,BBG333333333,rub,5.16,2020-11-20
Тинькофф iMOEX,BBG333333333,rub,5.152,2020-11-23
Тинькофф iMOEX,BBG333333333,rub,5.22,2020-11-24
Тинькофф iMOEX,BBG333333333,rub,5.288,2020-11-25
Тинькофф iMOEX,BBG333333333,rub,5.298,2020-11-26
Тинькофф iMOEX,BBG333333333,rub,5.304,2020-11-27
Тинькофф iMOEX,BBG333333333,rub,5.244,2020-11-30
Тинькофф iMOEX,BBG333333333,rub,5.306,2020-12-01
Тинькофф iMOEX,BBG333333333,rub,5.376,2020-12-02
Тинькофф iMOEX,BBG333333333,rub,5.33,2020-12-03
Тинькофф iMOEX,BBG333333333,rub,5.378,2020-12-04
Тинькофф iMOEX,BBG333333333,rub,5.394,2020-12-07
Тинькофф iMOEX,BBG333333333,rub,5.366,2020-12-08
Тинькофф iMOEX,BBG333333333,rub,5.42,2020-12-09
Тинькофф iMOEX,BBG333333333,rub,5.46,2020-12-10
Тинькофф iMOEX,BBG333333333,rub,5.52,2020-12-11
Тинькофф iMOEX,BBG333333333,rub,5.504,2020-12-14
Тинькофф iMOEX,BBG333333333,rub,5.486,2020-12-15
Тинькофф iMOEX,BBG333333333,rub,5.504,2020-12-16
Тинькофф iMOEX,BBG333333333,rub,5.552,2020-12-17
Тинькофф iMOEX,BBG333333333,rub,5.522,2020-12-18
Тинькофф iMOEX,BBG333333333,rub,5.378,2020-12-21
Тинькофф iMOEX,BBG333333333,rub,5.434,2020-12-22
Тинькофф iMOEX,BBG333333333,rub,5.468,2020-12-23
Тинькофф iMOEX,BBG333333333,rub,5.46,2020-12-24
Тинькофф iMOEX,BBG333333333,rub,5.484,2020-12-25
Тинькофф iMOEX,BBG333333333,rub,5.502,2020-12-28
Тинькофф iMOEX,BBG333333333,rub,5.522,2020-12-29
Тинькофф iMOEX,BBG333333333,rub,5.562,2020-12-30
Тинькофф iMOEX,BBG333333333,rub,5.642,2021-01-04
Тинькофф iMOEX,BBG333333333,rub,5.654,2021-01-05
Тинькофф iMOEX,BBG333333333,rub,5.686,2021-01-06
Тинькофф iMOEX,BBG333333333,rub,5.852,2021-01-08
Тинькофф iMOEX,BBG333333333,rub,5.9,2021-01-11
Тинькофф iMOEX,BBG333333333,rub,5.868,2021-01-12
Тинькофф iMOEX,BBG333333333,rub,5.866,2021-01-13
Тинькофф iMOEX,BBG333333333,rub,5.89,2021-01-14
Тинькофф iMOEX,BBG333333333,rub,5.842,2021-01-15
Тинькофф iMOEX,BBG333333333,rub,5.85,2021-01-18
Тинькофф iMOEX,BBG333333333,rub,5.822,2021-01-19
Тинькофф iMOEX,BBG333333333,rub,5.862,2021-01-20
Тинькофф iMOEX,BBG333333333,rub,5.766,2021-01-21
Тинькофф iMOEX,BBG333333333,rub,5.716,2021-01-22
Тинькофф iMOEX,BBG333333333,rub,5.73,2021-01-25
Тинькофф iMOEX,BBG333333333,rub,5.722,2021-01-26
Тинькофф iMOEX,BBG333333333,rub,5.658,2021-01-27
Тинькофф iMOEX,BBG333333333,rub,5.64,2021-01-28
Тинькофф iMOEX,BBG333333333,rub,5.532,2021-01-29
Тинькофф iMOEX,BBG333333333,rub,5.558,2021-02-01
Тинькофф iMOEX,BBG333333333,rub,5.674,2021-02-02
Тинькофф iMOEX,BBG333333333,rub,5.638,2021-02-03
Тинькофф iMOEX,BBG333333333,rub,5.69,2021-02-04
Тинькофф iMOEX,BBG333333333,rub,5.7,2021-02-05
Тинькофф iMOEX,BBG333333333,rub,5.802,2021-02-08
Тинькофф iMOEX,BBG333333333,rub,5.78,2021-02-09
Тинькофф iMOEX,BBG333333333,rub,5.738,2021-02-10
Тинькофф iMOEX,BBG333333333,rub,5.742,2021-02-11
Тинькофф iMOEX,BBG333333333,rub,5.742,2021-02-12
Тинькофф iMOEX,BBG333333333,rub,5.848,2021-02-15
Тинькофф iMOEX,BBG333333333,rub,5.876,2021-02-16
Тинькофф iMOEX,BBG333333333,rub,5.79,2021-02-17
Тинькофф iMOEX,BBG333333333,rub,5.75,2021-02-18
Тинькофф iMOEX,BBG333333333,rub,5.816,2021-02-19
Тинькофф iMOEX,BBG333333333,rub,5.794,2021-02-20
Тинькофф iMOEX,BBG333333333,rub,5.8,2021-02-22
Тинькофф iMOEX,BBG333333333,rub,5.712,2021-02-24
Тинькофф iMOEX,BBG333333333,rub,5.74,2021-02-25
Тинькофф iMOEX,BBG333333333,rub,5.62,2021-02-26
Тинькофф iMOEX,BBG333333333,rub,5.708,2021-03-01
Тинькофф iMOEX,BBG333333333,rub,5.754,2021-03-02
Тинькофф iMOEX,BBG333333333,rub,5.742,2021-03-03
Тинькофф iMOEX,BBG333333333,rub,5.732,2021-03-04
Тинькофф iMOEX,BBG333333333,rub,5.734,2021-03-05
Тинькофф iMOEX,BBG333333333,rub,5.856,2021-03-09
Тинькофф iMOEX,BBG333333333,rub,5.834,2021-03-10
Тинькофф iMOEX,BBG333333333,rub,5.89,2021-03-11
Тинькофф iMOEX,BBG333333333,rub,5.932,2021-03-12
Тинькофф iMOEX,BBG333333333,rub,6.04,2021-03-15
Тинькофф iMOEX,BBG333333333,rub,6.022,2021-03-16
Тинькофф iMOEX,BBG333333333,rub,5.902,2021-03-17
Тинькофф iMOEX,BBG333333333,rub,5.912,2021-03-18
Тинькофф iMOEX,BBG333333333,rub,5.86,2021-03-19
Тинькофф iMOEX,BBG333333333,rub,5.886,2021-03-22
Тинькофф iMOEX,BBG333333333,rub,5.838,2021-03-23
Тинькофф iMOEX,BBG333333333,rub,5.856,2021-03-24
Тинькофф iMOEX,BBG333333333,rub,5.806,2021-03-25
